S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
1,HARD,"### Sub-array Maximum

Write a program that traverses an array from left to right, where in each step it examines a sub-array of size `k` and skips `m` positions forward after each examination. Your task is to print the maximum values found in each sub-array considered.

<MultiLineNote>
Processing should stop if there are fewer than `k` elements remaining in the array after skipping `m` elements.
</MultiLineNote>

---

#### Input Format
- The first line contains `n` size of array.
- The second line contains space-separated integers representing the elements of the array `arr`.
- The third line contains an integer `k`, indicating the size of each sub-array to be considered.
- The fourth line contains an integer `m`, specifying the number of elements to skip after processing each sub-array.

---

#### Output Format
- The output should be a single line consisting of space-separated values, each representing the maximum value found in the respective sub-array.

---

#### Constraints
- The number of elements in the array `arr` is greater than zero.
- Sub-array size `k` and the number of skips `m` are positive integers.
- `k` is less than or equal to the length of the array.

---
#### Example

Let's take a sample input:

```
4 7 3 9 6 1 8 0
3
1
```
We need to print:

```
7 9 9 9 6 8
```

#### Explanation
[4 7 3] 9 6 1 8 0 -> maximum is `7`.
4 [7 3 9] 6 1 8 0 -> moving right by 1 place, maximum is `9`.
4 7 [3 9 6] 1 8 0 -> moving right by 1 place, maximum is `9`.
4 7 3 [9 6 1] 8 0 -> moving right by 1 place, maximum is `9`.
4 7 3 9 [6 1 8] 0 -> moving right by 1 place, maximum is `8`.
4 7 3 9 6 [1 8 0] -> moving right by 1 place, maximum is `8`.

---",Sub-array Maximum,DATA_TYPE_LIST,PYTHON,"n = int(input())
arr = list(map(int, input().split()))
k = int(input())
m = int(input())

for i in range(0, n - k + 1, m + 1):
    max_value = max(arr[i:i+k])
    print(max_value, end=' ')
print()
",PYTHON,"#Write your code here
",,,,,,true
,,,,,JAVA,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int n = scanner.nextInt();
        int[] arr = new int[n];
        for(int i = 0; i < n; i++) {
            arr[i] = scanner.nextInt();
        }
        int k = scanner.nextInt();
        int m = scanner.nextInt();

        for(int i = 0; i <= n - k; i += m + 1) {
            int maxValue = arr[i];
            for(int j = 1; j < k; j++) {
                if(arr[i + j] > maxValue) {
                    maxValue = arr[i + j];
                }
            }
            System.out.print(maxValue + "" "");
        }
        System.out.println();

        scanner.close();
    }
}
",JAVA,"import java.util.Scanner;

class Main {
    public static void main(String[] args) {
        //Write your code here
    }
}
","8
4 7 3 9 6 1 8 0
3
1","7 9 9 9 9 8
",NORMAL_CASE,,,
,,,,,CPP,"#include <iostream>
#include <vector>
using namespace std;

int main() {
    int n, k, m;
    cin >> n;
    vector<int> arr(n);
    for(int i = 0; i < n; i++) {
        cin >> arr[i];
    }
    cin >> k >> m;

    for(int i = 0; i <= n - k; i += m + 1) {
        int max_value = arr[i];
        for(int j = 1; j < k; j++) {
            if(arr[i + j] > max_value) {
                max_value = arr[i + j];
            }
        }
        cout << max_value << "" "";
    }
    cout << endl;

    return 0;
}",CPP,"#include <bits/stdc++.h>
using namespace std;

int main() {
    //Write your code here
    return 0;
}","6
1 5 9 4 6 2
2
1","5 9 9 6 6
",NORMAL_CASE,,,
,,,,,C,"#include <stdio.h>
#include <stdlib.h>

int main() {
    int n, k, m;
    scanf(""%d"", &n);
    int arr[n];
    for(int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    scanf(""%d"", &k);
    scanf(""%d"", &m);

    for(int i = 0; i <= n - k; i += m + 1) {
        int max_value = arr[i];
        for(int j = 1; j < k; j++) {
            if(arr[i + j] > max_value) {
                max_value = arr[i + j];
            }
        }
        printf(""%d "", max_value);
    }
    printf(""\n"");

    return 0;
}",C,"#include <stdio.h>

int main() {
    //Write your code here
    return 0;
}","5
10 20 30 40 50
2
2","20 40
",EDGE_CASE,,,
,,,,,,,,,"10
5 10 15 20 25 30 35 40 45 50
5
5","25 50
",EDGE_CASE,,,
,,,,,,,,,"7
9 8 3 2 1 4 7
3
2","9 8
",NORMAL_CASE,,,
,,,,,,,,,"9
3 3 3 3 3 3 3 3 3
3
1","3 3 3 3 3 3 3
",NORMAL_CASE,,,
,,,,,,,,,"8
1 2 3 4 5 6 7 8
4
2","4 6
",NORMAL_CASE,,,
,,,,,,,,,"12
20 19 18 17 16 15 14 13 12 11 10 9
3
2","20 18 16 14 12
",NORMAL_CASE,,,
,,,,,,,,,"15
2 3 4 2 6 2 5 1 1 1 2 3 4 2 1
2
3","3 6 5 2 4 2
",EDGE_CASE,,,
