S. No,Difficulty,Question Content (in Markdown),Question_short_text,Sub_Topics,Code_language,Solution Code,Front_Code_language,Prefilled Code For Each Code Language,Test_case_input,Test_case_output,Test_case_type,Code_language,Backend Code,is_valid
1,EASY,"### House Number Clean-Up

In the peaceful village of Digiville, houses are uniquely numbered for easy identification. However, one day, a newcomer noticed some houses had duplicate numbers, causing confusion among the residents. They decided to enlist your help to correct this situation. Given a list `arr` of house numbers, your task is to remove the duplicate numbers and provide the villagers with a unique list of house numbers in <HighlightedText>increasing order</HighlightedText>.

---

#### Input Format
The input consists of:

- `n`-> number of houses in the list `arr`.
- `arr` -> `n` space-separated integers representing house numbers in Digiville.

#### Output Format
- A list of unique house numbers.

---

#### Constraints
- 1 <=`n`<= 10^5
- The house numbers list `arr` consists only of Positive Integers.

---

#### Example
###### Input
    10
    1 3 4 2 2 5 1 6 4 7

###### Output
    1 2 3 4 5 6 7

---

#### Explanation
In the given example, the input list is `[1, 3, 4, 2, 2, 5, 1, 6, 4, 7]`. By removing duplicates and sorting the numbers, we get the output list `[1, 2, 3, 4, 5, 6, 7]`.
",House Number Clean-Up,DATA_TYPE_LIST,PYTHON,"n = int(input())
arr = list(map(int, input().split()))
unique_arr = sorted(set(arr))
print(*unique_arr)
",PYTHON,"# Write your code here
",,,,,,true
,,,,,JAVA,"import java.util.*;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int n = scanner.nextInt();
        int[] arr = new int[n];
        for (int i = 0; i < n; i++) {
            arr[i] = scanner.nextInt();
        }
        
        Arrays.sort(arr);
        
        System.out.print(arr[0] + "" "");
        for (int i = 1; i < n; i++) {
            if (arr[i] != arr[i-1]) {
                System.out.print(arr[i] + "" "");
            }
        }
        System.out.println();
        
        scanner.close();
    }
}
",JAVA,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        // Write your code here
    }
}","10
1 3 4 2 2 5 1 6 4 7",1 2 3 4 5 6 7,NORMAL_CASE,,,
,,,,,CPP,"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;

int main() {
    int n;
    cin >> n;
    vector<int> arr(n);
    for (int i = 0; i < n; ++i) {
        cin >> arr[i];
    }
    
    sort(arr.begin(), arr.end());
    
    cout << arr[0] << "" "";
    for (int i = 1; i < n; ++i) {
        if (arr[i] != arr[i-1]) {
            cout << arr[i] << "" "";
        }
    }
    cout << endl;
    
    return 0;
}
",CPP,"#include <bits/stdc++.h>
using namespace std;

int main() {
    // Write your code here
    return 0;
}","5
5 3 2 3 5",2 3 5,NORMAL_CASE,,,
,,,,,C,"#include <stdio.h>
#include <stdlib.h>

int compare(const void *a, const void *b) {
    return (*(int*)a - *(int*)b);
}

int main() {
    int n;
    scanf(""%d"", &n);
    int arr[n];
    for (int i = 0; i < n; i++) {
        scanf(""%d"", &arr[i]);
    }
    
    qsort(arr, n, sizeof(int), compare);
    
    printf(""%d "", arr[0]);
    for (int i = 1; i < n; i++) {
        if (arr[i] != arr[i-1]) {
            printf(""%d "", arr[i]);
        }
    }
    printf(""\n"");
    return 0;
}
",C,"#include <stdio.h>

int main() {
    // Write your code here
    return 0;
}","1
1",1,EDGE_CASE,,,
,,,,,,,,,"3
2 2 2",2,EDGE_CASE,,,
,,,,,,,,,"5
5 4 3 2 1",1 2 3 4 5,NORMAL_CASE,,,
,,,,,,,,,"5
1 2 3 4 5",1 2 3 4 5,NORMAL_CASE,,,
,,,,,,,,,"3
3 2 3",2 3,NORMAL_CASE,,,
,,,,,,,,,"6
6 5 4 3 2 1",1 2 3 4 5 6,NORMAL_CASE,,,
,,,,,,,,,"8
8 7 7 6 5 4 3 2",2 3 4 5 6 7 8,NORMAL_CASE,,,
,,,,,,,,,"4
9 9 8 7",7 8 9,NORMAL_CASE,,,
